epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
56,325.6,1.37201,1.00696,1.87111,0.00785,0.87425,0.90876,0.9372,0.63085,1.19601,0.87779,1.71289,0.01534,0.000313156,0.000313156,0.000313156
57,331.333,1.16803,1.07249,1.5945,0.00835,0.83704,0.94788,0.93629,0.62626,1.17499,0.87182,1.696,0.01605,0.00031192,0.00031192,0.00031192
58,336.484,1.13792,1.06521,1.53349,0.00753,0.86317,0.94009,0.93792,0.64232,1.13176,0.85891,1.6721,0.01348,0.000310436,0.000310436,0.000310436
59,341.864,1.29859,1.03645,1.58247,0.01261,0.85964,0.9378,0.93705,0.66012,1.08753,0.85091,1.64966,0.01207,0.000308705,0.000308705,0.000308705
60,347.114,1.24473,0.98274,1.59579,0.01378,0.85631,0.94644,0.94824,0.66903,1.05658,0.85444,1.63668,0.01329,0.000306726,0.000306726,0.000306726
61,352.576,1.18747,0.9265,1.78467,0.00763,0.83972,0.96213,0.94311,0.66,1.04907,0.85546,1.62582,0.01427,0.0003045,0.0003045,0.0003045
62,358.049,1.21655,0.97946,1.51637,0.0167,0.84692,0.93454,0.9442,0.64893,1.04767,0.85173,1.61421,0.01354,0.000302026,0.000302026,0.000302026
63,363.348,1.14024,0.8799,1.6103,0.0129,0.86252,0.93434,0.94225,0.65394,1.04977,0.843,1.60497,0.01286,0.000299305,0.000299305,0.000299305
64,368.752,1.14133,0.87585,1.48504,0.00926,0.85198,0.93993,0.94414,0.6532,1.04911,0.83187,1.59452,0.01102,0.000296336,0.000296336,0.000296336
65,374.12,1.08698,0.85703,1.45903,0.01283,0.8579,0.93392,0.94935,0.66341,1.05578,0.81776,1.58923,0.01012,0.00029312,0.00029312,0.00029312
66,379.397,1.13449,0.93436,1.5098,0.01272,0.89336,0.9374,0.95241,0.66888,1.05571,0.80995,1.58763,0.00929,0.000289656,0.000289656,0.000289656
67,384.659,1.14306,0.9225,1.4577,0.01267,0.89898,0.93954,0.9521,0.6779,1.05702,0.80402,1.58428,0.00964,0.000285945,0.000285945,0.000285945
68,389.854,1.11342,0.88373,1.53233,0.00931,0.91883,0.94459,0.96091,0.69197,1.06299,0.80541,1.58383,0.00917,0.000281986,0.000281986,0.000281986
69,395.068,1.11484,0.89305,1.49107,0.00719,0.91177,0.94441,0.9506,0.68537,1.05352,0.79642,1.57771,0.00845,0.00027778,0.00027778,0.00027778
70,400.355,1.21563,0.94017,1.44598,0.01709,0.91292,0.94561,0.95527,0.69473,1.04559,0.78371,1.57268,0.00911,0.000273326,0.000273326,0.000273326
71,405.648,1.13296,0.86098,1.5832,0.00752,0.91865,0.95231,0.97002,0.69369,1.02934,0.76654,1.56256,0.00894,0.000268625,0.000268625,0.000268625
72,411.179,1.11918,0.89739,1.45353,0.01249,0.9136,0.96293,0.97237,0.68492,1.01812,0.75454,1.55825,0.00915,0.000263676,0.000263676,0.000263676
73,417.008,1.06692,0.83697,1.41991,0.01689,0.90252,0.96829,0.96859,0.6841,1.00694,0.75099,1.55827,0.00697,0.00025848,0.00025848,0.00025848
74,422.279,1.04961,0.82452,1.55686,0.00791,0.87985,0.96019,0.95687,0.68901,0.99897,0.74915,1.54972,0.00662,0.000253036,0.000253036,0.000253036
